title,description,text,date,language
Is the Crypto Bubble Going to Burst?,"Even if you aren’t paying attention to Bitcoin and other cryptocurrencies, you might have noticed that their value plummeted last week, with the total value of the market tumbling from a high of $3 trillion last year to about $1.5 trillion in a matter of days…","Even if you arent paying attention to Bitcoin and other cryptocurrencies, you might have noticed that their value plummeted last week, with the total value of the market tumbling from a high of $3 tr… [+4782 chars]",2022-02-09,en
"As Kazakhstan Descends into Chaos, Crypto Miners Are at a Loss","The central Asian country became No. 2 in the world for Bitcoin mining. But political turmoil and power cuts have hit hard, and the future looks bleak.","When Denis Rusinovich set up cryptocurrency mining company Maveric Group in Kazakhstan in 2017, he thought he had hit the jackpot. Next door to China and Russia, the country had everything a Bitcoin … [+4140 chars]",2022-01-12,en
The International Monetary Fund tells El Salvador it shouldn’t use Bitcoin as legal tender,"The International Monetary Fund’s executive directors have recommended to El Salvador that it should narrow the scope of its Bitcoin law, making it so that the cryptocurrency is no longer legal tender in the country.","El Salvador introduced Bitcoin as a legal tender alongside the US dollar in 2021. | Illustration by Alex Castro / The Verge

 

 The International Monetary Fund’s executive board has recommended El … [+2691 chars]",2022-01-25,en
Jack Dorsey’s Block is working to make Bitcoin mining easier,"Block is working on building an “open Bitcoin mining system,” its CEO Jack Dorsey has announced. The company’s goals for the system are for it to be easily available, reliable, and relatively power efficient.","Were officially building an open Bitcoin mining system
Photo by Joe Raedle/Getty Images
Block, the payment company formerly known as Square, is working on building an open Bitcoin mining system, it… [+2078 chars]",2022-01-14,en
DeepDotWeb operator sentenced to eight years for money laundering,"The operator of DeepDotWeb, a site that indexed dark net marketplaces accessible through Tor browser, was sentenced to eight years after pleading guilty to money laundering using Bitcoin.","Israeli national Tal Prihar pled guilty to routing money from kickbacks through Bitcoin and shell companies 
Illustration by Alex Castro / The Verge
In the culmination of a two-year legal process, … [+1448 chars]",2022-01-27,en
Crypto.com admits over $30 million stolen by hackers,Cryptocurrency exchange Crypto.com has said that $15 million in ethereum and $18 million in bitcoin were stolen by hackers in a security breach,"In a new blog post the company said that 4,836 ETH and 443 bitcoin were taken
Illustration by Alex Castro / The Verge
In a blog post published in the early hours of Thursday morning, cryptocurrency… [+2004 chars]",2022-01-20,en
Netflix is already making a docuseries about the alleged billion-dollar bitcoin launderers,"Netflix
 is making a docuseries about one of the worst rappers of all time
. Coincidentally, Heather ""Razzlekhan"" Morgan and her husband, Ilya Lichtenstein, were charged this week with conspiring to launder 119,754 bitcoin, which was stolen in the 2016 hack…","Netflix
 is making a docuseries about one of the worst rappers of all time
. Coincidentally, Heather ""Razzlekhan"" Morgan and her husband, Ilya Lichtenstein, were charged this week with conspiring t… [+1432 chars]",2022-02-11,en
"Bitcoin Extends Slide, Has Fallen More Than 50% From Record High","Bitcoin, the largest digital asset, extended its decline Saturday, and has now shed more than 50% from its record high in November.Bitcoin’s decline since hitting the record has wiped out more than $600 billion in market value, and over $1 trillion has been l…","Bitcoin, the largest digital asset, extended its decline Saturday, and has now shed more than 50% from its record high in November.Bitcoin’s decline since hitting the record has wiped out more than $… [+567 chars]",2022-01-22,en
"Block is officially building an 'open Bitcoin mining system,' says founder Jack Dorsey","Block founder Jack Dorsey has announced on Twitter that the company is officially building an open bitcoin mining system. Dorsey first announced in October last year that the digital payments provider, then known as Square, was considering working on the proj…",Block founder Jack Dorsey has announced on Twitter that the company is officially building an open bitcoin mining system. Dorsey first announced in October last year that the digital payments provide… [+1584 chars],2022-01-14,en
Musk says Tesla to accept dogecoin for merchandise,"<table><tr><td></td></tr><tr><td> Representation of cryptocurrency Dogecoin is seen in this illustration taken November 29, 2021. REUTERS/Dado Ruvic/Illustration/File Photo</td></tr>
</table>Tesla Inc (TSLA.O) will accept the meme-based cryptocurrency dogeco…","Tesla Inc (TSLA.O) will accept the meme-based cryptocurrency dogecoin as payment for its products such as the ""Giga Texas"" belt buckle and mini  electric vehicle models, CEO Elon Musk said on Friday … [+1482 chars]",2022-01-14,en
Eric Adams Is Taking His First Paycheck in Crypto,"Mr. Adams, who wants New York City to become the global capital for cryptocurrency, will have his paycheck converted into Bitcoin and Ethereum.","On some level, the new mayor is simply employing an age-old political strategy: making overtures to the business community. Fintech is a growing field in New York City, and blockchain-based companies… [+1562 chars]",2022-01-20,en
Gibraltar Could Launch the World’s First Crypto Stock Exchange,“The Rock” hopes a new stock exchange will attract crypto millionaires who want to avoid hefty taxes.,"British entrepreneur and financier Richard ODell Poulden hopes that his new venture will relieve the plight of an underserved cohort: Bitcoin billionaires who want to buy a house.
In October, Poulde… [+3364 chars]",2022-01-26,en
"Russian c.bank proposes banning cryptocurrencies, crypto mining","<table><tr><td></td></tr><tr><td>Representations of virtual cryptocurrencies are seen in this illustration taken November 28, 2021. REUTERS/Dado Ruvic/Illustration/File Photo</td></tr>
</table>Russia's central bank on Thursday proposed banning the use and mi…","Russia's central bank on Thursday proposed banning the use and mining of cryptocurrencies on Russian territory, citing threats to financial stability, citizens' wellbeing and its monetary policy sove… [+2149 chars]",2022-01-20,en
Justice Dept. Seizes $3.6 Billion in Bitcoin and Arrests Married Couple,"The couple were accused of conspiring to launder Bitcoin that had been stolen in 2016 from Hong Kong-based Bitfinex, one of the world’s largest virtual currency exchanges.","Over the last five years, about 25,000 of those Bitcoin were transferred out of Mr. Lichtensteins wallet using a complicated series of transactions meant to obscure that the currency had been stolen … [+2506 chars]",2022-02-08,en
IMF urges El Salvador to remove Bitcoin as legal tender,Officials say the decision poses risks to financial stability and consumer protection in the country.,"Image caption, Bitcoin is accepted everywhere for goods and services in El Salvador, alongside the US dollar
The International Monetary Fund (IMF) has urged El Salvador to reverse its decision to ma… [+1846 chars]",2022-01-26,en
U.S. SEC rejects Fidelity's Wise Origin spot bitcoin ETF - Reuters.com,The U.S. Securities and Exchange Commission on Thursday rejected a proposal to offer spot bitcoin exchange-traded funds (ETF) from Fidelity's Wise Origin Bitcoin Trust.,"By Reuters Staff
Jan 26 (Reuters) - The U.S. Securities and Exchange Commission on Thursday rejected a proposal to offer spot bitcoin exchange-traded funds (ETF) from Fidelitys Wise Origin Bitcoin T… [+202 chars]",2022-01-27,en
Jack Dorsey says Block is building a bitcoin mining system so that anyone can easily buy a rig,"Block is officially building a bitcoin mining system to make mining bitcoin ""more distributed and efficient.""","Jack Dorsey onstage at a bitcoin convention in June.Joe Raedle/Getty Images
Block is going ahead with building a bitcoin mining system that will be open to individuals and businesses worldwide, its … [+2459 chars]",2022-01-14,en
It Only Took 3 Days for Netflix to Order a Docuseries on the Bonnie and Clyde of the Crypto World,"The news of one of the biggest money laundering schemes in history captivated the world on Tuesday, not so much because of the crime—which involved $4.5 billion in bitcoin and is, yeah, a big deal—but rather because of the couple accused of carrying it out. T…","The news of one of the biggest money laundering schemes in history captivated the world on Tuesday, not so much because of the crimewhich involved $4.5 billion in bitcoin and is, yeah, a big dealbut … [+1948 chars]",2022-02-12,en
Robinhood opens cryptocurrency wallet to beta testers,"Back in September
, Robinhood announced plans to test a cryptocurrency wallet within its app. At the time, the company said it would open the beta to a small number of people before expanding availability ahead of a full-scale release. If you joined the wait…","Back in September
, Robinhood announced plans to test a cryptocurrency wallet within its app. At the time, the company said it would open the beta to a small number of people before expanding availa… [+1069 chars]",2022-01-21,en
"Who are Ilya Lichtenstein and Heather Morgan, Charged in Bitcoin Case?","Before being accused in a major cryptocurrency conspiracy, Ilya Lichtenstein and Heather Morgan shared advice, ideas and amateur rap videos online.","In one 2020 article for the magazine, she explored how to protect your business as cybercriminals and fraudsters are taking advantage of disruptions caused by the pandemic.
For Inc.s entrepreneurial… [+1705 chars]",2022-02-09,en
